0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84
0.00181843,0.000357033,0.000403066,0.001297476,0.00144824,0.001727845,0.002054935,0.002657092,0.003617613,0.005455427,0.007929004,0.011991172,0.018004057,0.025783296,0.041554008,0.067863526,0.100690796
0.001668667,0.00035913,0.000442079,0.001404177,0.00149386,0.001759709,0.002058482,0.002692315,0.003751776,0.005456931,0.007891203,0.011720205,0.017712142,0.025188652,0.039524673,0.066434576,0.094756879
0.001739209,0.00035002,0.000392397,0.00138633,0.001419782,0.001622719,0.002124459,0.002748401,0.003860975,0.005412235,0.007996166,0.012052848,0.017742526,0.02565993,0.038636611,0.063415652,0.097095247
0.002020741,0.000337484,0.000415794,0.001251864,0.001557451,0.001659438,0.002006204,0.002824408,0.003688554,0.005321823,0.008322396,0.011638478,0.018443913,0.025669396,0.039584663,0.064295352,0.10030391
0.001991775,0.000296629,0.000356817,0.001234666,0.00134722,0.001575956,0.002134479,0.002718487,0.00385167,0.005174812,0.008345084,0.012046013,0.018265223,0.025318489,0.038955755,0.061831047,0.100313764
0.00193276,0.000260085,0.000299332,0.001111671,0.001160648,0.001579336,0.002078589,0.002812353,0.003888881,0.005060254,0.008223302,0.011366297,0.01727764,0.025238906,0.03745935,0.057776269,0.096110795
0.00196085,0.00025515,0.000333863,0.001050348,0.00121776,0.001446006,0.001974066,0.002792621,0.003907535,0.005060936,0.007497828,0.011349202,0.016848999,0.025282163,0.036042746,0.058416749,0.095575563
0.001919982,0.000305161,0.000352965,0.000997302,0.001098631,0.001406235,0.001929339,0.002734673,0.00380164,0.005148119,0.007356004,0.011124734,0.016794927,0.025186556,0.036061433,0.057310027,0.092931251
0.001821815,0.00022809,0.000246643,0.000936916,0.001109554,0.001307942,0.001854696,0.002619644,0.003780674,0.005180941,0.00693552,0.011174286,0.016035263,0.024643737,0.035569311,0.054873993,0.087136536
0.001737962,0.000230233,0.000244491,0.000821824,0.001014861,0.00120848,0.001773529,0.002622906,0.003661567,0.005042606,0.006869511,0.011070445,0.015796996,0.024967624,0.035888195,0.054128651,0.08517203
0.001506795,0.000181455,0.000196655,0.000740801,0.000951114,0.001274647,0.001697998,0.002519895,0.003502837,0.004990733,0.006739276,0.010282354,0.015420063,0.02346813,0.035325434,0.052913704,0.08328807
0.001305224,0.000242537,0.000202202,0.000665757,0.000922526,0.001189137,0.001776789,0.002516344,0.003580552,0.004949322,0.006846017,0.009782937,0.015153551,0.023134922,0.035225428,0.051991621,0.081017478
0.001434908,0.000171753,0.000181865,0.000774384,0.000917835,0.001192878,0.001784412,0.00259447,0.003653628,0.005078768,0.006906539,0.009821995,0.015015608,0.022387766,0.03579547,0.052871389,0.081449443
0.001406152,0.000186372,0.000211982,0.000690415,0.000954834,0.00138158,0.001886486,0.002696501,0.00385361,0.005227219,0.006898458,0.00961699,0.015820721,0.022224711,0.035377849,0.053760346,0.081173137
0.001362605,0.00018423,0.000220129,0.000659058,0.000907006,0.001239032,0.001816743,0.002729101,0.003884612,0.005188551,0.007053873,0.009165172,0.014272435,0.020854238,0.03380869,0.050256164,0.075470227
0.001385859,0.0001692,0.000175938,0.000546907,0.000840073,0.001070442,0.00162088,0.002531941,0.003811488,0.005041917,0.006778344,0.009133949,0.013780152,0.021116364,0.033297775,0.051815941,0.075512895
0.001310367,0.000158148,0.000164019,0.000547119,0.000766711,0.000982898,0.001564406,0.002488241,0.003747924,0.005045103,0.006726794,0.009132648,0.013486495,0.020286515,0.033237306,0.051910307,0.076087394
0.001118519,0.000223972,0.000202287,0.000501392,0.000718939,0.001001914,0.001479878,0.002476627,0.003558149,0.004844713,0.006624749,0.008965588,0.012651926,0.01957126,0.031582077,0.05017831,0.074508023
0.001080652,0.000171835,0.000172487,0.000521074,0.000667424,0.00095982,0.001364472,0.002199067,0.003438325,0.004824319,0.006470456,0.008913315,0.011938331,0.019843381,0.02949426,0.050180296,0.075693999
0.001211037,0.000148333,0.00017766,0.000495337,0.00072875,0.000930034,0.001415853,0.002313843,0.003630526,0.005023123,0.006595637,0.009015299,0.012073553,0.019754552,0.030031976,0.051930771,0.07805678
0.00123153,0.00014674,0.000174857,0.000483884,0.000628307,0.000860515,0.001348701,0.002201424,0.003477581,0.004972161,0.006369957,0.008714464,0.011792721,0.018756516,0.029284402,0.049271823,0.079153053
0.001042535,0.000141618,0.000172671,0.00047705,0.000608511,0.000758753,0.001204969,0.002021207,0.003191576,0.004810363,0.006508111,0.008630599,0.011949067,0.017629513,0.028499789,0.046757119,0.078576097
0.001055905,0.000154513,0.000167636,0.000451021,0.000611945,0.000729925,0.001223488,0.002101065,0.003239209,0.004912061,0.006554395,0.00858777,0.012021235,0.017544199,0.029073517,0.046972764,0.079931145
0.00110233,0.0001176,0.0001537,0.000486491,0.000610747,0.000728488,0.001128146,0.001965656,0.003166879,0.004772663,0.006413994,0.008689843,0.01192253,0.016627429,0.02838089,0.045956914,0.078880867
